event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,admin1,admin2,admin3,location,source_scale,notes,fatalities
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Tolima,Ibague,,Ibague,National,"On 31 May 2021, in Ibague (Tolima), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. A group of young people blocked the streets for several hours while displaying a banner that supports the general strike. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Guacari,,Guacari,National,"On 31 May 2021, in Guacari (Valle del Cauca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,El Cerrito,,El Cerrito,National,"On 31 May 2021, in El Cerrito (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Florida,,Florida,National,"On 31 May 2021, in Florida (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Candelaria,,Candelaria,National,"On 31 May 2021, in Candelaria (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Palmira,,Palmira,National,"On 31 May 2021, in Palmira (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Yumbo,,Yumbo,National,"On 31 May 2021, in Yumbo (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Dagua,,Dagua,National,"On 31 May 2021, in Dagua (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Roldanillo,,Roldanillo,National,"On 31 May 2021, in Roldanillo (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Pradera,,Pradera,National,"On 31 May 2021, in Pradera (Valle del Cauca), protesters blocked the roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
